epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6384,0.43946,3.19373,0.85627,0.00338,1,0.46169,0.44989,0.26425,3.2071,0.78982,0.00011669,0.00011669,0.00011669
2,43.7165,0.38015,2.42811,0.81914,0.00352,1,0.67238,0.6108,0.38944,3.03639,0.81058,0.000241798,0.000241798,0.000241798
3,61.2405,0.44593,1.80244,0.84012,0.00365,1,0.80844,0.75626,0.38257,3.07591,0.80102,0.000358105,0.000358105,0.000358105
4,78.3195,0.45935,1.40125,0.83547,0.00378,1,0.64804,0.61775,0.31926,3.13925,0.78925,0.00046561,0.00046561,0.00046561
5,95.8625,0.42734,1.12696,0.82955,0.00383,1,0.64519,0.59746,0.42112,3.14492,0.7927,0.000564313,0.000564313,0.000564313
6,114.704,0.38321,1.08377,0.81766,0.00369,1,0.59465,0.54761,0.37358,3.08663,0.80414,0.000654214,0.000654214,0.000654214
7,133.246,0.40685,1.0943,0.81824,0.00353,1,0.9125,0.89429,0.3492,3.08997,0.76514,0.000735314,0.000735314,0.000735314
8,151.413,0.38321,1.0658,0.83449,0.00342,1,0.929,0.84143,0.31918,2.88363,0.7647,0.000807611,0.000807611,0.000807611
9,171.415,0.39401,1.00692,0.81167,1,0.73004,0.995,0.98101,0.32929,2.51461,0.74693,0.000871108,0.000871108,0.000871108
10,189.757,0.386,0.9613,0.81798,1,0.75053,0.995,0.97302,0.31339,2.53102,0.72971,0.000925802,0.000925802,0.000925802
11,208.633,0.41275,0.94407,0.82711,0.99501,0.99605,0.995,0.95545,0.30858,2.14051,0.73791,0.000971694,0.000971694,0.000971694
12,227.818,0.36399,0.86323,0.83758,0.95273,1,0.995,0.98501,0.28249,1.40323,0.71563,0.00100879,0.00100879,0.00100879
13,247.459,0.38039,0.81917,0.82599,0.95311,1,0.995,0.995,0.26867,1.40189,0.7166,0.00100687,0.00100687,0.00100687
14,265.562,0.3401,0.84503,0.80958,0.97121,0.99799,0.995,0.97302,0.25331,1.32233,0.70766,0.000951857,0.000951857,0.000951857
15,284.826,0.35776,0.76265,0.81569,0.96645,1,0.995,0.995,0.26365,1.14508,0.70506,0.000896846,0.000896846,0.000896846
16,302.972,0.34797,0.79907,0.82753,0.9863,1,0.995,0.97706,0.26008,1.09621,0.70149,0.000841835,0.000841835,0.000841835
17,320.887,0.34595,0.78918,0.81802,0.98157,1,0.995,0.97302,0.223,0.94451,0.69698,0.000786824,0.000786824,0.000786824
18,342.782,0.31378,0.73118,0.80309,0.97371,1,0.995,0.995,0.21969,0.87894,0.6943,0.000731813,0.000731813,0.000731813
19,369.053,0.29893,0.73053,0.81885,0.98008,1,0.995,0.995,0.22564,0.88698,0.69902,0.000676802,0.000676802,0.000676802
20,394.929,0.31587,0.66724,0.80701,0.97448,1,0.995,0.995,0.24793,0.84216,0.70112,0.000621791,0.000621791,0.000621791
21,421.701,0.27057,1.04618,0.78931,0.99076,1,0.995,0.995,0.22794,1.12418,0.69745,0.00056678,0.00056678,0.00056678
22,443.032,0.27352,1.06767,0.80348,0.92287,0.99968,0.995,0.995,0.22333,1.0679,0.70049,0.000511769,0.000511769,0.000511769
23,469.121,0.24977,1.00632,0.78842,0.96285,1,0.995,0.995,0.19443,0.77435,0.6969,0.000456758,0.000456758,0.000456758
24,494.832,0.25619,0.9311,0.7879,0.98833,1,0.995,0.995,0.19635,0.71916,0.69514,0.000401747,0.000401747,0.000401747
25,520.153,0.23722,0.93192,0.7958,0.98916,1,0.995,0.995,0.20067,0.65933,0.69872,0.000346736,0.000346736,0.000346736
26,542.91,0.22681,0.88187,0.78371,0.98473,1,0.995,0.995,0.20053,0.63939,0.6983,0.000291725,0.000291725,0.000291725
27,559.377,0.21709,0.86749,0.7776,0.98458,1,0.995,0.995,0.1918,0.60643,0.69681,0.000236714,0.000236714,0.000236714
28,575.758,0.22301,0.84791,0.80495,0.98425,1,0.995,0.995,0.17726,0.6117,0.69183,0.000181703,0.000181703,0.000181703
29,592.205,0.20666,0.82903,0.77099,0.9848,1,0.995,0.995,0.15469,0.60326,0.68833,0.000126692,0.000126692,0.000126692
30,608.78,0.19966,0.83508,0.77887,0.98596,1,0.995,0.995,0.14959,0.59719,0.68777,7.1681e-05,7.1681e-05,7.1681e-05
